,workerid,rt,statements,weight,pronoun,question,profession,expectedPronoun,correctResponse,response,slide_number_in_experiment,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid.1,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
31,0,8359,"[u'The farmer was worried about the next harvest.', u' was concerned there wouldn&quotechart be enough rain.']",2.27,She,Was the farmer concerned there wouldn&quotechart be enough rain?,farmer,He,Yes,"[4656, 512, 1616, 1720, u'Yes']",34,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
24,0,9287,"[u'The football player spent hours in the whirlpool each day.', u' had injured an ankle, and the whirlpool eased the pain.']",1.57,She,Had the football player injured an ankle?,football player,He,Yes,"[5449, 496, 2432, 2599, u'Yes']",27,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
23,0,8272,"[u'The fortune teller traveled with the carnival.', u' had been born into the carnival life and never wanted to leave it.']",9.47,He,Had the fortune teller joined the circus as a teenager?,fortune teller,She,No,"[4719, 455, 2367, 2257, u'No']",26,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
19,0,8207,"[u'The housekeeper always showed up late for work.', u' was threatened with termination if this behavior continued.']",9.97,She,Did the housekeeper always show up for work on time?,housekeeper,She,No,"[5535, 552, 2176, 1960, u'No']",22,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
22,0,7981,"[u'The interior designer inspected the ballroom before the gala.', u' found everything in perfect order.']",6.7,He,Was the interior designer inspecting the garden?,interior designer,neutral,No,"[4976, 448, 2720, 1392, u'No']",25,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
4,0,8613,"[u'The interpreter checked the documents carefully for typos.', u' signed them and put them in the outgoing mail.']",6.53,She,Did the interpreter put the documents in the trash?,interpreter,neutral,No,"[12960, 583, 2632, 2319, u'No']",7,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
14,0,11831,"[u'The midwife read the newspaper everyday.', u' tried to keep informed about national and world news.']",10.27,He,Did the midwife read the newspaper only once a week?,midwife,She,No,"[7247, 656, 2385, 3584, u'No']",17,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
33,0,10928,"[u'The nurse examined the medication carefully.', u' then wrote something on the chart and left.']",9.07,He,Was the nurse examining medication?,nurse,She,Yes,"[6822, 448, 1480, 2272, u'Yes']",36,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
25,0,8001,"[u'The paratrooper was very moody and hard to get along with.', u' seemed to be liked by no one in the squad.']",1.24,He,Did anyone in the squad like the paratrooper?,paratrooper,He,No,"[6359, 519, 2504, 2097, u'No']",28,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
32,0,10223,"[u'The pediatrician gave out free gift bags to every appointment.', u' included in each gift bag the child&quotechars favorite candy.']",5.43,She,Did the pediatrician give out free gift bags to only some appointments?,pediatrician,neutral,No,"[6183, 392, 3089, 2839, u'No']",35,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
28,0,7719,"[u'The pilot announced the time and the weather.', u' indicated that the plane would be landing a little ahead of schedule.']",2.07,He,Was the plane going to arrive late?,pilot,He,No,"[5200, 368, 2184, 2360, u'No']",31,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
18,0,8695,"[u'The plumber stopped by the diner on the way home from work.', u' ordered the special: catfish sandwich and fries.']",1.83,He,Was the special a catfish sandwhich?,plumber,He,Yes,"[8399, 657, 2615, 2135, u'Yes']",21,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
7,0,10000,"[u'The psychologist liked to visit the zoo.', u' found watching the animals to be a perfect way to relax after work.']",5.73,He,Did the psychologist like to visit the zoo after work?,psychologist,neutral,Yes,"[5608, 623, 1904, 3369, u'Yes']",10,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
27,0,8432,"[u'The receptionist received an invitation to a charity benefit.', u' decided not to go because there was a lot piling up at work.']",9.57,She,Did the receptionist receive an invitation to a charity benefit?,receptionist,She,Yes,"[4584, 432, 2807, 2383, u'Yes']",30,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
17,0,10655,"[u'The secretary distributed an urgent memo.', u' made is clear that work would continue as normal.']",9.7,She,Was the memo the secretary distributed urgent?,secretary,She,Yes,"[6599, 495, 1472, 2736, u'Yes']",20,English,0,Male,39,"""Everyday"" is an adjective.",No.,Yes,0.5,3,Windows,1080,1920,Chrome,3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,3QY2P19FFHX9BG7GXSZS9WCOSF7NX3,Language study,Answer questions about different professions. Quick and fun.,language research stanford fun cognitive science university experiment,$0.4,Fri May 12 08:47:36 PDT 2017,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,300,Sun May 14 08:47:36 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3N5YJ55YXF2DQCQ4TQ2X588Z73JANZ,34PGFRQONOAH0J0G5ZBZIAKX859WJR,0,Approved,Fri May 12 08:59:54 PDT 2017,Fri May 12 08:48:06 PDT 2017,Fri May 12 08:54:54 PDT 2017,Fri May 12 09:00:16 PDT 2017,NA,NA,NA,NA,undefined,6.76781666666667,[]
